ID#	ORIGIN	GROWTH_STAGE	MANAGEMENT	SAMPLE_OR_CONTROL	OLD_NAME	COLLECTION_YEAR	BAR_LABEL
Sample0332	leaf	R2	Organic	Sample	T4R2AR2L	2018	2018 R2 Organic
Sample0333	leaf	R2	Organic	Sample	T4R2BR2L	2018	2018 R2 Organic
Sample0334	leaf	R2	Organic	Sample	T4R2CR2L	2018	2018 R2 Organic
Sample0335	leaf	R2	Organic	Sample	T4R5AR2L	2018	2018 R2 Organic
Sample0336	leaf	R2	Organic	Sample	T4R5BR2L	2018	2018 R2 Organic
Sample0337	leaf	R2	Organic	Sample	T4R5CR2L	2018	2018 R2 Organic
Sample0338	leaf	R2	Organic	Sample	T4R6AR2L	2018	2018 R2 Organic
Sample0339	leaf	R2	Organic	Sample	T4R6BR2L	2018	2018 R2 Organic
Sample0340	leaf	R2	Organic	Sample	T4R6CR2L	2018	2018 R2 Organic
Sample0341	leaf	NEG	neg	Control	NEG.4L	2018	negative
Sample0342	leaf	NEG	neg	Control	NEG.5L	2018	negative
Sample0343	leaf	NEG	neg	Control	NEG.6L	2018	negative
Sample0344	stem	V2	Conventional	Sample	T1R1AV2ST	2018	2018 V2 Conventional
Sample0345	stem	V2	Conventional	Sample	T2R1BV2ST	2018	2018 V2 Conventional
Sample0346	stem	V2	Conventional	Sample	T1R1CV2ST	2018	2018 V2 Conventional
Sample0347	stem	V2	Conventional	Sample	T1R2AV2ST	2018	2018 V2 Conventional
Sample0348	stem	V2	Conventional	Sample	T1R2BV2ST	2018	2018 V2 Conventional
Sample0349	stem	V2	Conventional	Sample	T1R2CV2ST	2018	2018 V2 Conventional
Sample0350	stem	V2	Conventional	Sample	T1R5AV2ST	2018	2018 V2 Conventional
Sample0351	stem	V2	Conventional	Sample	T1R5BV2ST	2018	2018 V2 Conventional
Sample0352	stem	V2	Conventional	Sample	T1R5CV2ST	2018	2018 V2 Conventional
Sample0353	stem	V2	Conventional	Sample	T1R6AV2ST	2018	2018 V2 Conventional
Sample0354	stem	V2	Conventional	Sample	T1R6BV2ST	2018	2018 V2 Conventional
Sample0355	stem	V2	Conventional	Sample	T1R6CV2ST	2018	2018 V2 Conventional
Sample0356	stem	V2	No-Till	Sample	T2R1AV2ST	2018	2018 V2 No-Till
Sample0357	stem	V2	No-Till	Sample	T1R1BV2ST	2018	2018 V2 No-Till
Sample0358	stem	V2	No-Till	Sample	T2R1CV2ST	2018	2018 V2 No-Till
Sample0359	stem	V2	No-Till	Sample	T2R2AV2ST	2018	2018 V2 No-Till
Sample0360	stem	V2	No-Till	Sample	T2R2BV2ST	2018	2018 V2 No-Till
Sample0361	stem	V2	No-Till	Sample	T2R2CV2ST	2018	2018 V2 No-Till
Sample0362	stem	V2	No-Till	Sample	T2R5AV2ST	2018	2018 V2 No-Till
Sample0363	stem	V2	No-Till	Sample	T2R5BV2ST	2018	2018 V2 No-Till
Sample0364	stem	V2	No-Till	Sample	T2R5CV2ST	2018	2018 V2 No-Till
Sample0365	stem	V2	No-Till	Sample	T2R6AV2ST	2018	2018 V2 No-Till
Sample0366	stem	V2	No-Till	Sample	T2R6BV2ST	2018	2018 V2 No-Till
Sample0367	stem	V2	No-Till	Sample	T2R6CV2ST	2018	2018 V2 No-Till
Sample0368	stem	V2	Organic	Sample	T4R1AV2ST	2018	2018 V2 Organic
Sample0369	stem	V2	Organic	Sample	T4R1BV2ST	2018	2018 V2 Organic
Sample0370	stem	V2	Organic	Sample	T4R1CV2ST	2018	2018 V2 Organic
Sample0371	stem	neg	neg	Control	NEG2ST	2018	negative
Sample0372	stem	V2	Organic	Sample	T4R2AV2ST	2018	2018 V2 Organic
Sample0373	stem	V2	Organic	Sample	T4R2BV2ST	2018	2018 V2 Organic
Sample0374	stem	V2	Organic	Sample	T4R2CV2ST	2018	2018 V2 Organic
Sample0375	stem	V2	Organic	Sample	T4R5AV2ST	2018	2018 V2 Organic
Sample0376	stem	V2	Organic	Sample	T4R5BV2ST	2018	2018 V2 Organic
Sample0377	stem	V2	Organic	Sample	T4R5CV2ST	2018	2018 V2 Organic
Sample0378	stem	V2	Organic	Sample	T4R6AV2ST	2018	2018 V2 Organic
Sample0379	stem	V2	Organic	Sample	T4R6BV2ST	2018	2018 V2 Organic
Sample0380	stem	V2	Organic	Sample	T4R6CV2ST	2018	2018 V2 Organic
Sample0381	stem	neg	neg	Control	NEG3ST	2018	negative
Sample0382	stem	R2	Conventional	Sample	T1R1AR2ST	2018	2018 R2 Conventional
Sample0383	stem	R2	Conventional	Sample	T1R1BR2ST	2018	2018 R2 Conventional
Sample0384	stem	R2	Conventional	Sample	T1R1CR2ST	2018	2018 R2 Conventional
Sample0385	stem	R2	Conventional	Sample	T1R2AR2ST	2018	2018 R2 Conventional
Sample0386	stem	R2	Conventional	Sample	T1R2BR2ST	2018	2018 R2 Conventional
Sample0387	stem	R2	Conventional	Sample	T1R2CR2ST	2018	2018 R2 Conventional
Sample0388	stem	R2	Conventional	Sample	T1R5AR2ST	2018	2018 R2 Conventional
Sample0389	stem	R2	Conventional	Sample	T1R5BR2ST	2018	2018 R2 Conventional
Sample0390	stem	R2	Conventional	Sample	T1R5CR2ST	2018	2018 R2 Conventional
Sample0391	stem	R2	Conventional	Sample	T1R6AR2ST	2018	2018 R2 Conventional
Sample0392	stem	R2	Conventional	Sample	T1R6BR2ST	2018	2018 R2 Conventional
Sample0393	stem	R2	Conventional	Sample	T1R6CR2ST	2018	2018 R2 Conventional
Sample0394	stem	R2	No-Till	Sample	T2R1AR2ST	2018	2018 R2 No-Till
Sample0395	stem	R2	No-Till	Sample	T2R1BR2ST	2018	2018 R2 No-Till
Sample0396	stem	R2	No-Till	Sample	T2R1CR2ST	2018	2018 R2 No-Till
Sample0397	stem	R2	No-Till	Sample	T2R2AR2ST	2018	2018 R2 No-Till
Sample0398	stem	R2	No-Till	Sample	T2R2BR2ST	2018	2018 R2 No-Till
Sample0399	stem	R2	No-Till	Sample	T2R2CR2ST	2018	2018 R2 No-Till
Sample0400	stem	R2	No-Till	Sample	T2R5AR2ST	2018	2018 R2 No-Till
Sample0401	stem	R2	No-Till	Sample	T2R5BR2ST	2018	2018 R2 No-Till
Sample0402	stem	R2	No-Till	Sample	T2R5CR2ST	2018	2018 R2 No-Till
Sample0403	stem	R2	No-Till	Sample	T2R6AR2ST	2018	2018 R2 No-Till
Sample0404	stem	R2	No-Till	Sample	T2R6BR2ST	2018	2018 R2 No-Till
Sample0405	stem	R2	No-Till	Sample	T2R6CR2ST	2018	2018 R2 No-Till
Sample0406	stem	R2	Organic	Sample	T4R1AR2ST	2018	2018 R2 Organic
Sample0407	stem	R2	Organic	Sample	T4R1BR2ST	2018	2018 R2 Organic
Sample0408	stem	R2	Organic	Sample	T4R1CR2ST	2018	2018 R2 Organic
Sample0409	stem	R2	Organic	Sample	T4R2AR2ST	2018	2018 R2 Organic
Sample0410	stem	R2	Organic	Sample	T4R2BR2ST	2018	2018 R2 Organic
Sample0411	stem	R2	Organic	Sample	T4R2CR2ST	2018	2018 R2 Organic
Sample0412	stem	R2	Organic	Sample	T4R5AR2ST	2018	2018 R2 Organic
Sample0413	stem	R2	Organic	Sample	T4R5BR2ST	2018	2018 R2 Organic
Sample0414	stem	R2	Organic	Sample	T4R5CR2ST	2018	2018 R2 Organic
Sample0415	stem	R2	Organic	Sample	T4R6AR2ST	2018	2018 R2 Organic
Sample0416	stem	R2	Organic	Sample	T4R6BR2ST	2018	2018 R2 Organic
Sample0417	stem	R2	Organic	Sample	T4R6CR2ST	2018	2018 R2 Organic
Sample0418	stem	neg	neg	Control	NEG4ST	2018	negative
Sample0419	stem	NEG	neg	Control	NEG6ST	2018	negative
Sample0420	stem	NEG	neg	Control	NEG5ST	2018	negative
Sample0421	stem	neg	neg	Control	NEG7ST	2018	negative
Sample0422	stem	neg	neg	Control	NEG8ST	2018	negative
Sample0423	stem	neg	neg	Control	NEG9ST	2018	negative
Sample0424	stem	R4	neg	Control	NEG10ST	2018	negative
Sample0425	stem	neg	neg	Control	NEG11ST	2018	negative
Sample0426	stem	R6	Conventional	Sample	T1R1AR6ST	2018	2018 R6 Conventional
Sample0427	stem	R6	Conventional	Sample	T1R1BR6ST	2018	2018 R6 Conventional
Sample0428	stem	R6	Conventional	Sample	T1R1CR6ST	2018	2018 R6 Conventional
Sample0429	stem	R6	Conventional	Sample	T1R2AR6ST	2018	2018 R6 Conventional
Sample0430	stem	R6	Conventional	Sample	T1R2BR6ST	2018	2018 R6 Conventional
Sample0431	stem	R6	Conventional	Sample	T1R2CR6ST	2018	2018 R6 Conventional
Sample0432	stem	R6	Conventional	Sample	T1R5AR6ST	2018	2018 R6 Conventional
Sample0433	stem	R6	Conventional	Sample	T1R5BR6ST	2018	2018 R6 Conventional
Sample0434	stem	R6	Conventional	Sample	T1R5CR6ST	2018	2018 R6 Conventional
Sample0435	stem	R6	Conventional	Sample	T1R6AR6ST	2018	2018 R6 Conventional
Sample0436	stem	R6	Conventional	Sample	T1R6BR6ST	2018	2018 R6 Conventional
Sample0437	stem	R6	Conventional	Sample	T1R6CR6ST	2018	2018 R6 Conventional
Sample0438	stem	R6	No-Till	Sample	T2R1AR6ST	2018	2018 R6 No-Till
Sample0439	stem	R6	No-Till	Sample	T2R1BR6ST	2018	2018 R6 No-Till
Sample0440	stem	R6	No-Till	Sample	T2R1CR6ST	2018	2018 R6 No-Till
Sample0441	stem	R6	No-Till	Sample	T2R2AR6ST	2018	2018 R6 No-Till
Sample0442	stem	R6	No-Till	Sample	T2R2BR6ST	2018	2018 R6 No-Till
Sample0443	stem	R6	No-Till	Sample	T2R2CR6ST	2018	2018 R6 No-Till
Sample0444	stem	R6	No-Till	Sample	T2R5AR6ST	2018	2018 R6 No-Till
Sample0445	stem	R6	No-Till	Sample	T2R5BR6ST	2018	2018 R6 No-Till
Sample0446	stem	R6	No-Till	Sample	T2R5CR6ST	2018	2018 R6 No-Till
Sample0447	stem	R6	No-Till	Sample	T2R6AR6ST	2018	2018 R6 No-Till
Sample0448	stem	neg	neg	Control	NEG13ST	2018	negative
Sample0449	stem	R6	No-Till	Sample	T2R6BR6ST	2018	2018 R6 No-Till
Sample0450	stem	R6	No-Till	Sample	T2R6CR6ST	2018	2018 R6 No-Till
Sample0451	stem	neg	neg	Control	NEG14ST	2018	negative
Sample0452	stem	neg	neg	Control	NEG15ST	2018	negative
Sample0453	stem	R6	Organic	Sample	T4R1AR6ST	2018	2018 R6 Organic
Sample0454	stem	neg	neg	Control	NEG16ST	2018	negative
Sample0455	stem	R6	Organic	Sample	T4R1BR6ST	2018	2018 R6 Organic
Sample0456	stem	R6	Organic	Sample	T4R1CR6ST	2018	2018 R6 Organic
Sample0457	stem	R6	Organic	Sample	T4R2AR6ST	2018	2018 R6 Organic
Sample0458	stem	R6	Organic	Sample	T4R2BR6ST	2018	2018 R6 Organic
Sample0459	stem	R6	Organic	Sample	T4R2CR6ST	2018	2018 R6 Organic
Sample0460	stem	R6	Organic	Sample	T4R5AR6ST	2018	2018 R6 Organic
Sample0461	stem	R6	Organic	Sample	T4R5BR6ST	2018	2018 R6 Organic
Sample0462	stem	R6	Organic	Sample	T4R5CR6ST	2018	2018 R6 Organic
Sample0463	stem	R6	Organic	Sample	T4R6AR6ST	2018	2018 R6 Organic
Sample0464	stem	R6	Organic	Sample	T4R6BR6ST	2018	2018 R6 Organic
Sample0465	stem	R6	Organic	Sample	T4R6CR6ST	2018	2018 R6 Organic
Sample0466	leaf	R6	No-Till	Sample	T2R1AR6L	2018	2018 R6 No-Till
Sample0467	leaf	R6	No-Till	Sample	T2R1BR6L	2018	2018 R6 No-Till
Sample0468	leaf	R6	No-Till	Sample	T2R1CR6L	2018	2018 R6 No-Till
Sample0469	leaf	R6	No-Till	Sample	T2R2AR6L	2018	2018 R6 No-Till
Sample0470	leaf	R6	No-Till	Sample	T2R2BR6L	2018	2018 R6 No-Till
Sample0471	leaf	R6	No-Till	Sample	T2R2CR6L	2018	2018 R6 No-Till
Sample0472	leaf	R6	No-Till	Sample	T2R5AR6L	2018	2018 R6 No-Till
Sample0473	leaf	R6	No-Till	Sample	T2R5BR6L	2018	2018 R6 No-Till
Sample0474	leaf	R6	No-Till	Sample	T2R5CR6L	2018	2018 R6 No-Till
Sample0475	leaf	R6	No-Till	Sample	T2R6AR6L	2018	2018 R6 No-Till
Sample0476	leaf	neg	neg	Control	NEG13L	2018	2018 neg neg
Sample0477	leaf	R6	No-Till	Sample	T2R6BR6L	2018	2018 R6 No-Till
Sample0478	leaf	R6	No-Till	Sample	T2R6CR6L	2018	2018 R6 No-Till
Sample0479	leaf	neg	neg	Control	NEG14L	2018	2018 neg neg
Sample0480	leaf	neg	neg	Control	NEG15L	2018	2018 neg neg
Sample0481	leaf	R6	Organic	Sample	T4R1AR6L	2018	2018 R6 Organic
Sample0482	leaf	R6	Organic	Sample	T4R1BR6L	2018	2018 R6 Organic
Sample0483	leaf	neg	neg	Control	NEG16L	2018	2018 neg neg
Sample0484	leaf	R6	Organic	Sample	T4R1CR6L	2018	2018 R6 Organic
Sample0485	leaf	R6	Organic	Sample	T4R2AR6L	2018	2018 R6 Organic
Sample0486	leaf	R6	Organic	Sample	T4R2BR6L	2018	2018 R6 Organic
Sample0487	leaf	R6	Organic	Sample	T4R2CR6L	2018	2018 R6 Organic
Sample0488	leaf	R6	Organic	Sample	T4R5AR6L	2018	2018 R6 Organic
Sample0489	leaf	R6	Organic	Sample	T4R5BR6L	2018	2018 R6 Organic
Sample0490	leaf	R6	Organic	Sample	T4R5CR6L	2018	2018 R6 Organic
Sample0491	leaf	R6	Organic	Sample	T4R6AR6L	2018	2018 R6 Organic
Sample0492	leaf	R6	Organic	Sample	T4R6BR6L	2018	2018 R6 Organic
Sample0493	leaf	R6	Organic	Sample	T4R6CR6L	2018	2018 R6 Organic
Sample0494	leaf	V2	Conventional	Sample	V2T1r1Aleaf	2021	2021 V2 Conventional
Sample0495	leaf	V2	Conventional	Sample	V2T1r1Bleaf	2021	2021 V2 Conventional
Sample0496	leaf	V2	Conventional	Sample	V2T1r1Cleaf	2021	2021 V2 Conventional
Sample0497	leaf	V2	Conventional	Sample	V2T1r2Aleaf	2021	2021 V2 Conventional
Sample0498	leaf	V2	Conventional	Sample	V2T1r2Bleaf	2021	2021 V2 Conventional
Sample0499	leaf	V2	Conventional	Sample	V2T1r2Cleaf	2021	2021 V2 Conventional
Sample0500	leaf	V2	Conventional	Sample	V2T1r5Aleaf	2021	2021 V2 Conventional
Sample0501	leaf	V2	Conventional	Sample	V2T1r5Bleaf	2021	2021 V2 Conventional
Sample0502	leaf	V2	Conventional	Sample	V2T1r5Cleaf	2021	2021 V2 Conventional
Sample0503	leaf	V2	Conventional	Sample	V2T1r6Aleaf	2021	2021 V2 Conventional
Sample0504	leaf	V2	Conventional	Sample	V2T1r6Bleaf	2021	2021 V2 Conventional
Sample0505	leaf	V2	Conventional	Sample	V2T1r6Cleaf	2021	2021 V2 Conventional
Sample0506	leaf	V2	No-Till	Sample	V2T2r1Aleaf	2021	2021 V2 No-Till
Sample0507	leaf	V2	No-Till	Sample	V2T2r1Bleaf	2021	2021 V2 No-Till
Sample0508	leaf	V2	No-Till	Sample	V2T2r1Cleaf	2021	2021 V2 No-Till
Sample0509	leaf	V2	No-Till	Sample	V2T2r2Aleaf	2021	2021 V2 No-Till
Sample0510	leaf	V2	No-Till	Sample	V2T2r2Bleaf	2021	2021 V2 No-Till
Sample0511	leaf	V2	No-Till	Sample	V2T2r2Cleaf	2021	2021 V2 No-Till
Sample0512	leaf	V2	No-Till	Sample	V2T2r5Aleaf	2021	2021 V2 No-Till
Sample0513	leaf	V2	No-Till	Sample	V2T2r5Bleaf	2021	2021 V2 No-Till
Sample0514	leaf	V2	No-Till	Sample	V2T2r5Cleaf	2021	2021 V2 No-Till
Sample0515	leaf	V2	No-Till	Sample	V2T2r6Aleaf	2021	2021 V2 No-Till
Sample0516	leaf	V2	No-Till	Sample	V2T2r6Bleaf	2021	2021 V2 No-Till
Sample0517	leaf	V2	No-Till	Sample	V2T2r6Cleaf	2021	2021 V2 No-Till
Sample0518	leaf	V2	Organic	Sample	V2T4r1Aleaf	2021	2021 V2 Organic
Sample0519	leaf	V2	Organic	Sample	V2T4r1Bleaf	2021	2021 V2 Organic
Sample0520	leaf	V2	Organic	Sample	V2T4r1Cleaf	2021	2021 V2 Organic
Sample0521	leaf	V2	Organic	Sample	V2T4r2Aleaf	2021	2021 V2 Organic
Sample0522	leaf	V2	Organic	Sample	V2T4r2Bleaf	2021	2021 V2 Organic
Sample0523	leaf	V2	Organic	Sample	V2T4r2Cleaf	2021	2021 V2 Organic
Sample0524	leaf	V2	Organic	Sample	V2T4r5Aleaf	2021	2021 V2 Organic
Sample0525	leaf	V2	Organic	Sample	V2T4r5Bleaf	2021	2021 V2 Organic
Sample0526	leaf	V2	Organic	Sample	V2T4r5Cleaf	2021	2021 V2 Organic
Sample0527	leaf	V2	Organic	Sample	V2T4r6Aleaf	2021	2021 V2 Organic
Sample0528	leaf	V2	Organic	Sample	V2T4r6Bleaf	2021	2021 V2 Organic
Sample0529	leaf	V2	Organic	Sample	V2T4r6Cleaf	2021	2021 V2 Organic
Sample0530	leaf	R3	Conventional	Sample	R3T1r1Aleaf	2021	2021 R3 Conventional
Sample0531	leaf	R3	Conventional	Sample	R3T1r1Bleaf	2021	2021 R3 Conventional
Sample0532	leaf	R3	Conventional	Sample	R3T1r1Cleaf	2021	2021 R3 Conventional
Sample0533	leaf	R3	Conventional	Sample	R3T1r2Aleaf	2021	2021 R3 Conventional
Sample0534	leaf	R3	Conventional	Sample	R3T1r2Bleaf	2021	2021 R3 Conventional
Sample0535	leaf	R3	Conventional	Sample	R3T1r2Cleaf	2021	2021 R3 Conventional
Sample0536	leaf	R3	Conventional	Sample	R3T1r5Aleaf	2021	2021 R3 Conventional
Sample0537	leaf	R3	Conventional	Sample	R3T1r5Bleaf	2021	2021 R3 Conventional
Sample0538	leaf	R3	Conventional	Sample	R3T1r5Cleaf	2021	2021 R3 Conventional
Sample0539	leaf	R3	Conventional	Sample	R3T1r6Aleaf	2021	2021 R3 Conventional
Sample0540	leaf	R3	Conventional	Sample	R3T1r6Bleaf	2021	2021 R3 Conventional
Sample0541	leaf	R3	Conventional	Sample	R3T1r6Cleaf	2021	2021 R3 Conventional
Sample0542	leaf	R3	No-Till	Sample	R3T2r1Aleaf	2021	2021 R3 No-Till
Sample0543	leaf	R3	No-Till	Sample	R3T2r1Bleaf	2021	2021 R3 No-Till
Sample0544	leaf	R3	No-Till	Sample	R3T2r1Cleaf	2021	2021 R3 No-Till
Sample0545	leaf	R3	No-Till	Sample	R3T2r2Aleaf	2021	2021 R3 No-Till
Sample0546	leaf	R3	No-Till	Sample	R3T2r2Bleaf	2021	2021 R3 No-Till
Sample0547	leaf	R3	No-Till	Sample	R3T2r2Cleaf	2021	2021 R3 No-Till
Sample0548	leaf	R3	No-Till	Sample	R3T2r5Aleaf	2021	2021 R3 No-Till
Sample0549	leaf	R3	No-Till	Sample	R3T2r5Bleaf	2021	2021 R3 No-Till
Sample0550	leaf	R3	No-Till	Sample	R3T2r5Cleaf	2021	2021 R3 No-Till
Sample0551	leaf	R3	No-Till	Sample	R3T2r6Aleaf	2021	2021 R3 No-Till
Sample0552	leaf	R3	No-Till	Sample	R3T2r6Bleaf	2021	2021 R3 No-Till
Sample0553	leaf	R3	No-Till	Sample	R3T2r6Cleaf	2021	2021 R3 No-Till
Sample0554	leaf	R3	Organic	Sample	R3T4r1Aleaf	2021	2021 R3 Organic
Sample0555	leaf	R3	Organic	Sample	R3T4r1Bleaf	2021	2021 R3 Organic
Sample0556	leaf	R3	Organic	Sample	R3T4r1Cleaf	2021	2021 R3 Organic
Sample0557	leaf	R3	Organic	Sample	R3T4r2Aleaf	2021	2021 R3 Organic
Sample0558	leaf	R3	Organic	Sample	R3T4r2Bleaf	2021	2021 R3 Organic
Sample0559	leaf	R3	Organic	Sample	R3T4r2Cleaf	2021	2021 R3 Organic
Sample0560	leaf	R3	Organic	Sample	R3T4r5Aleaf	2021	2021 R3 Organic
Sample0561	leaf	R3	Organic	Sample	R3T4r5Bleaf	2021	2021 R3 Organic
Sample0562	leaf	R3	Organic	Sample	R3T4r5Cleaf	2021	2021 R3 Organic
Sample0563	leaf	R3	Organic	Sample	R3T4r6Aleaf	2021	2021 R3 Organic
Sample0564	leaf	R3	Organic	Sample	R3T4r6Bleaf	2021	2021 R3 Organic
Sample0565	leaf	R3	Organic	Sample	R3T4r6Cleaf	2021	2021 R3 Organic
Sample0566	leaf	R6	Conventional	Sample	R6T1r1Aleaf	2021	2021 R6 Conventional
Sample0567	leaf	R6	Conventional	Sample	R6T1r1Bleaf	2021	2021 R6 Conventional
Sample0568	leaf	R6	Conventional	Sample	R6T1r1Cleaf	2021	2021 R6 Conventional
Sample0569	leaf	R6	Conventional	Sample	R6T1r2Aleaf	2021	2021 R6 Conventional
Sample0570	leaf	R6	Conventional	Sample	R6T1r2Bleaf	2021	2021 R6 Conventional
Sample0571	leaf	R6	Conventional	Sample	R6T1r2Cleaf	2021	2021 R6 Conventional
Sample0572	leaf	R6	Conventional	Sample	R6T1r5Aleaf	2021	2021 R6 Conventional
Sample0573	leaf	R6	Conventional	Sample	R6T1r5Bleaf	2021	2021 R6 Conventional
Sample0574	leaf	R6	Conventional	Sample	R6T1r5Cleaf	2021	2021 R6 Conventional
Sample0575	leaf	R6	Conventional	Sample	R6T1r6Aleaf	2021	2021 R6 Conventional
Sample0576	leaf	R6	Conventional	Sample	R6T1r6Bleaf	2021	2021 R6 Conventional
Sample0577	leaf	R6	Conventional	Sample	R6T1r6Cleaf	2021	2021 R6 Conventional
Sample0578	leaf	R6	No-Till	Sample	R6T2r1Aleaf	2021	2021 R6 No-Till
Sample0579	leaf	R6	No-Till	Sample	R6T2r1Bleaf	2021	2021 R6 No-Till
Sample0580	leaf	R6	No-Till	Sample	R6T2r1Cleaf	2021	2021 R6 No-Till
Sample0581	leaf	R6	No-Till	Sample	R6T2r2Aleaf	2021	2021 R6 No-Till
Sample0582	leaf	R6	No-Till	Sample	R6T2r2Bleaf	2021	2021 R6 No-Till
Sample0583	leaf	R6	No-Till	Sample	R6T2r2Cleaf	2021	2021 R6 No-Till
Sample0584	leaf	R6	No-Till	Sample	R6T2r5Aleaf	2021	2021 R6 No-Till
Sample0585	leaf	R6	No-Till	Sample	R6T2r5Bleaf	2021	2021 R6 No-Till
Sample0586	leaf	R6	No-Till	Sample	R6T2r5Cleaf	2021	2021 R6 No-Till
Sample0587	leaf	R6	No-Till	Sample	R6T2r6Aleaf	2021	2021 R6 No-Till
Sample0588	leaf	R6	No-Till	Sample	R6T2r6Bleaf	2021	2021 R6 No-Till
Sample0589	NC	NC	neg	Control	NC1leaf	2021	negative
Sample0590	leaf	R6	No-Till	Sample	R6T2r6Cleaf	2021	2021 R6 No-Till
Sample0591	leaf	R6	Organic	Sample	R6T4r1Aleaf	2021	2021 R6 Organic
Sample0592	leaf	R6	Organic	Sample	R6T4r1Bleaf	2021	2021 R6 Organic
Sample0593	leaf	R6	Organic	Sample	R6T4r1Cleaf	2021	2021 R6 Organic
Sample0594	leaf	R6	Organic	Sample	R6T4r2Aleaf	2021	2021 R6 Organic
Sample0595	leaf	R6	Organic	Sample	R6T4r2Bleaf	2021	2021 R6 Organic
Sample0596	leaf	R6	Organic	Sample	R6T4r2Cleaf	2021	2021 R6 Organic
Sample0597	leaf	R6	Organic	Sample	R6T4r5Aleaf	2021	2021 R6 Organic
Sample0598	leaf	R6	Organic	Sample	R6T4r5Bleaf	2021	2021 R6 Organic
Sample0599	leaf	R6	Organic	Sample	R6T4r5Cleaf	2021	2021 R6 Organic
Sample0600	leaf	R6	Organic	Sample	R6T4r6Aleaf	2021	2021 R6 Organic
Sample0601	leaf	R6	Organic	Sample	R6T4r6Bleaf	2021	2021 R6 Organic
Sample0602	leaf	R6	Organic	Sample	R6T4r6Cleaf	2021	2021 R6 Organic
Sample0603	PC	PC	neg	Control	PC1leaf	2021	negative
Sample0604	NC	NC	neg	Control	NC2leaf	2021	negative
Sample0605	root	V2	Conventional	Sample	V2T1r1Aroot	2021	2021 V2 Conventional
Sample0606	root	V2	Conventional	Sample	V2T1r1Broot	2021	2021 V2 Conventional
Sample0607	root	V2	Conventional	Sample	V2T1r1Croot	2021	2021 V2 Conventional
Sample0608	root	V2	Conventional	Sample	V2T1r2Aroot	2021	2021 V2 Conventional
Sample0609	root	V2	Conventional	Sample	V2T1r2Broot	2021	2021 V2 Conventional
Sample0610	root	V2	Conventional	Sample	V2T1r2Croot	2021	2021 V2 Conventional
Sample0611	root	V2	Conventional	Sample	V2T1r5Aroot	2021	2021 V2 Conventional
Sample0612	root	V2	Conventional	Sample	V2T1r5Broot	2021	2021 V2 Conventional
Sample0613	root	V2	Conventional	Sample	V2T1r5Croot	2021	2021 V2 Conventional
Sample0614	root	V2	Conventional	Sample	V2T1r6Aroot	2021	2021 V2 Conventional
Sample0615	root	V2	Conventional	Sample	V2T1r6Broot	2021	2021 V2 Conventional
Sample0616	root	V2	Conventional	Sample	V2T1r6Croot	2021	2021 V2 Conventional
Sample0617	root	V2	No-Till	Sample	V2T2r1Aroot	2021	2021 V2 No-Till
Sample0618	root	V2	No-Till	Sample	V2T2r1Broot	2021	2021 V2 No-Till
Sample0619	root	V2	No-Till	Sample	V2T2r1Croot	2021	2021 V2 No-Till
Sample0620	root	V2	No-Till	Sample	V2T2r2Aroot	2021	2021 V2 No-Till
Sample0621	root	V2	No-Till	Sample	V2T2r2Broot	2021	2021 V2 No-Till
Sample0622	root	V2	No-Till	Sample	V2T2r2Croot	2021	2021 V2 No-Till
Sample0623	root	V2	No-Till	Sample	V2T2r5Aroot	2021	2021 V2 No-Till
Sample0624	root	V2	No-Till	Sample	V2T2r5Broot	2021	2021 V2 No-Till
Sample0625	root	V2	No-Till	Sample	V2T2r5Croot	2021	2021 V2 No-Till
Sample0626	root	V2	No-Till	Sample	V2T2r6Aroot	2021	2021 V2 No-Till
Sample0627	root	V2	No-Till	Sample	V2T2r6Broot	2021	2021 V2 No-Till
Sample0628	root	V2	No-Till	Sample	V2T2r6Croot	2021	2021 V2 No-Till
Sample0629	root	V2	Organic	Sample	V2T4r1Aroot	2021	2021 V2 Organic
Sample0630	root	V2	Organic	Sample	V2T4r1Broot	2021	2021 V2 Organic
Sample0631	root	V2	Organic	Sample	V2T4r1Croot	2021	2021 V2 Organic
Sample0632	root	V2	Organic	Sample	V2T4r2Aroot	2021	2021 V2 Organic
Sample0633	root	V2	Organic	Sample	V2T4r2Broot	2021	2021 V2 Organic
Sample0634	root	V2	Organic	Sample	V2T4r2Croot	2021	2021 V2 Organic
Sample0635	root	V2	Organic	Sample	V2T4r5Aroot	2021	2021 V2 Organic
Sample0636	root	V2	Organic	Sample	V2T4r5Broot	2021	2021 V2 Organic
Sample0637	root	V2	Organic	Sample	V2T4r5Croot	2021	2021 V2 Organic
Sample0638	root	V2	Organic	Sample	V2T4r6Aroot	2021	2021 V2 Organic
Sample0639	root	V2	Organic	Sample	V2T4r6Broot	2021	2021 V2 Organic
Sample0640	root	V2	Organic	Sample	V2T4r6Croot	2021	2021 V2 Organic
Sample0641	root	R3	Conventional	Sample	R3T1r1Aroot	2021	2021 R3 Conventional
Sample0642	root	R3	Conventional	Sample	R3T1r1Broot	2021	2021 R3 Conventional
Sample0643	root	R3	Conventional	Sample	R3T1r1Croot	2021	2021 R3 Conventional
Sample0644	root	R3	Conventional	Sample	R3T1r2Aroot	2021	2021 R3 Conventional
Sample0645	root	R3	Conventional	Sample	R3T1r2Broot	2021	2021 R3 Conventional
